metadata features: 19 (age_z, sex_female, sex_male, sex_unknown, loc_abdomen, ...)
device: mps | resolution: 128 | seeds: [1, 2, 3]
channel means: [0.765 0.548 0.574] | stds: [0.138 0.15  0.166]
parameters: 4,723,725
seed 1 | epoch  1/50 | train loss 1.7623 | val acc 0.6673 | macroF1 0.2832  <- best
seed 1 | epoch  2/50 | train loss 1.5962 | val acc 0.5915 | macroF1 0.2982  <- best
seed 1 | epoch  3/50 | train loss 1.5650 | val acc 0.7209 | macroF1 0.3368  <- best
seed 1 | epoch  4/50 | train loss 1.5373 | val acc 0.6896 | macroF1 0.3633  <- best
seed 1 | epoch  5/50 | train loss 1.5258 | val acc 0.7017 | macroF1 0.4513  <- best
seed 1 | epoch  6/50 | train loss 1.4887 | val acc 0.6309 | macroF1 0.3876
seed 1 | epoch  7/50 | train loss 1.4986 | val acc 0.7472 | macroF1 0.4734  <- best
seed 1 | epoch  8/50 | train loss 1.4764 | val acc 0.6997 | macroF1 0.4436
seed 1 | epoch  9/50 | train loss 1.4704 | val acc 0.7108 | macroF1 0.4650
seed 1 | epoch 10/50 | train loss 1.4597 | val acc 0.6694 | macroF1 0.4668
seed 1 | epoch 11/50 | train loss 1.4379 | val acc 0.6805 | macroF1 0.4448
seed 1 | epoch 12/50 | train loss 1.4325 | val acc 0.7503 | macroF1 0.5124  <- best
seed 1 | epoch 13/50 | train loss 1.4206 | val acc 0.7209 | macroF1 0.4817
seed 1 | epoch 14/50 | train loss 1.4074 | val acc 0.7523 | macroF1 0.5246  <- best
seed 1 | epoch 15/50 | train loss 1.3942 | val acc 0.6977 | macroF1 0.4968
seed 1 | epoch 16/50 | train loss 1.3872 | val acc 0.7300 | macroF1 0.5015
seed 1 | epoch 17/50 | train loss 1.3691 | val acc 0.7401 | macroF1 0.5437  <- best
seed 1 | epoch 18/50 | train loss 1.3641 | val acc 0.7503 | macroF1 0.5297
seed 1 | epoch 19/50 | train loss 1.3507 | val acc 0.7381 | macroF1 0.5320
seed 1 | epoch 20/50 | train loss 1.3534 | val acc 0.7624 | macroF1 0.5426
seed 1 | epoch 21/50 | train loss 1.3381 | val acc 0.7523 | macroF1 0.5387
seed 1 | epoch 22/50 | train loss 1.3201 | val acc 0.7391 | macroF1 0.5049
seed 1 | epoch 23/50 | train loss 1.3068 | val acc 0.7583 | macroF1 0.5730  <- best
seed 1 | epoch 24/50 | train loss 1.3168 | val acc 0.7513 | macroF1 0.5622
seed 1 | epoch 25/50 | train loss 1.3110 | val acc 0.7624 | macroF1 0.4868
seed 1 | epoch 26/50 | train loss 1.2922 | val acc 0.7715 | macroF1 0.5771  <- best
seed 1 | epoch 27/50 | train loss 1.2887 | val acc 0.7361 | macroF1 0.5573
seed 1 | epoch 28/50 | train loss 1.2809 | val acc 0.7755 | macroF1 0.5683
seed 1 | epoch 29/50 | train loss 1.2680 | val acc 0.7735 | macroF1 0.5803  <- best
seed 1 | epoch 30/50 | train loss 1.2717 | val acc 0.7745 | macroF1 0.5760
seed 1 | epoch 31/50 | train loss 1.2538 | val acc 0.7664 | macroF1 0.5996  <- best
seed 1 | epoch 32/50 | train loss 1.2579 | val acc 0.7371 | macroF1 0.5627
seed 1 | epoch 33/50 | train loss 1.2444 | val acc 0.7674 | macroF1 0.5801
seed 1 | epoch 34/50 | train loss 1.2421 | val acc 0.7685 | macroF1 0.5735
seed 1 | epoch 35/50 | train loss 1.2253 | val acc 0.7836 | macroF1 0.6175  <- best
seed 1 | epoch 36/50 | train loss 1.2229 | val acc 0.7624 | macroF1 0.5923
seed 1 | epoch 37/50 | train loss 1.2242 | val acc 0.7786 | macroF1 0.5812
seed 1 | epoch 38/50 | train loss 1.2138 | val acc 0.7695 | macroF1 0.6039
seed 1 | epoch 39/50 | train loss 1.2143 | val acc 0.7634 | macroF1 0.5522
seed 1 | epoch 40/50 | train loss 1.2010 | val acc 0.7695 | macroF1 0.5761
seed 1 | epoch 41/50 | train loss 1.2000 | val acc 0.7776 | macroF1 0.5812
seed 1 | epoch 42/50 | train loss 1.1915 | val acc 0.7695 | macroF1 0.5773
seed 1 | epoch 43/50 | train loss 1.1920 | val acc 0.7867 | macroF1 0.6008
seed 1 | epoch 44/50 | train loss 1.1885 | val acc 0.7735 | macroF1 0.5657
seed 1 | epoch 45/50 | train loss 1.1880 | val acc 0.7937 | macroF1 0.5961
seed 1 | epoch 46/50 | train loss 1.1792 | val acc 0.7816 | macroF1 0.5886
seed 1 | epoch 47/50 | train loss 1.1734 | val acc 0.7836 | macroF1 0.5998
seed 1 | early stop at epoch 47

seed 1 done | best val macroF1 0.6175 | test acc (TTA) 0.7594

seed 2 | epoch  1/50 | train loss 1.7571 | val acc 0.6704 | macroF1 0.3129  <- best
seed 2 | epoch  2/50 | train loss 1.5860 | val acc 0.7280 | macroF1 0.4567  <- best
seed 2 | epoch  3/50 | train loss 1.5431 | val acc 0.7260 | macroF1 0.4040
seed 2 | epoch  4/50 | train loss 1.5233 | val acc 0.6593 | macroF1 0.3621
seed 2 | epoch  5/50 | train loss 1.5040 | val acc 0.6724 | macroF1 0.4234
seed 2 | epoch  6/50 | train loss 1.4802 | val acc 0.7159 | macroF1 0.4540
seed 2 | epoch  7/50 | train loss 1.4737 | val acc 0.7280 | macroF1 0.4978  <- best
